"","category","pop","samp","label"
"1","18-24",0.330049261083744,0.341176470588235,"Age"
"2","25-29",0.413793103448276,0.494117647058824,"Age"
"3","30-35",0.177339901477833,0.105882352941176,"Age"
"4","36 or older",0.0788177339901478,0.0588235294117647,"Age"
"0","Non-white",0.192118226600985,0.157303370786517,"Race"
"11","White",0.807881773399015,0.842696629213483,"Race"
"01","Non-Christian",0.448275862068966,0.444444444444444,"Religion"
"12","Christian",0.551724137931034,0.555555555555556,"Religion"
"02","Not married",0.812807881773399,0.806818181818182,"Marital Status"
"13","Married",0.187192118226601,0.193181818181818,"Marital Status"
